state,group,year,halfyear,chipMedicaidEnroll,totalRX
AK,0,2011,1,118117,1625
AK,0,2011,2,119175,1565
AK,0,2012,1,120240,1778
AK,0,2012,2,119723,1851
AK,0,2013,1,120388,2021
AK,0,2013,2,117299,1715
AK,0,2014,1,125558,1679
AK,0,2014,2,127888,1699
AK,0,2015,1,126985,1865
AK,0,2015,2,137865,1946
AK,0,2016,1,160450,2327
AK,0,2016,2,176799,2575
AL,0,2011,1,913436,11744
AL,0,2011,2,923365,10425
AL,0,2012,1,922415,11327
AL,0,2012,2,915462,12039
AL,0,2013,1,931684,14615
AL,0,2013,2,940931,12765
AL,0,2014,1,836428,13172
AL,0,2014,2,876485,10530
AL,0,2015,1,878932,14558
AL,0,2015,2,888024,12751
AL,0,2016,1,896723,13841
AL,0,2016,2,892753,12509
AR,1,2011,1,609272,3071
AR,1,2011,2,615023,3152
AR,1,2012,1,616321,3251
AR,1,2012,2,625868,3146
AR,1,2013,1,624627,3181
AR,1,2013,2,647073,3010
AR,1,2014,1,772337,3274
AR,1,2014,2,824682,3419
AR,1,2015,1,820769,3466
AR,1,2015,2,839277,3400
AR,1,2016,1,857359,3437
AR,1,2016,2,948181,3113
AZ,1,2011,1,1388569,10037
AZ,1,2011,2,1364236,11957
AZ,1,2012,1,1309638,10775
AZ,1,2012,2,1298694,7124
AZ,1,2013,1,1307111,9271
AZ,1,2013,2,1292061,11669
AZ,1,2014,1,1427080,10000
AZ,1,2014,2,1496616,13890
AZ,1,2015,1,1589487,15021
AZ,1,2015,2,1681587,14666
AZ,1,2016,1,1685493,18069
AZ,1,2016,2,1739041,13141
CA,1,2011,1,8678927,43301
CA,1,2011,2,8771607,39151
CA,1,2012,1,8996976,40485
CA,1,2012,2,9276646,40894
CA,1,2013,1,9221339,42873
CA,1,2013,2,9661146,38523
CA,1,2014,1,10900000,46796
CA,1,2014,2,11919314,49504
CA,1,2015,1,12627234,60829
CA,1,2015,2,12166109,64218
CA,1,2016,1,12333253,67529
CA,1,2016,2,12405352,65548
CO,1,2011,1,652856,5219
CO,1,2011,2,692837,5449
CO,1,2012,1,733956,5945
CO,1,2012,2,756928,6228
CO,1,2013,1,818695,7537
CO,1,2013,2,861513,7511
CO,1,2014,1,1088391,10091
CO,1,2014,2,1183251,10709
CO,1,2015,1,1263461,11941
CO,1,2015,2,1324115,11260
CO,1,2016,1,1363125,12216
CO,1,2016,2,1387165,9480
CT,1,2011,1,579257,9794
CT,1,2011,2,587385,9057
CT,1,2012,1,595272,10508
CT,1,2012,2,616609,12929
CT,1,2013,1,626175,14293
CT,1,2013,2,631574,12427
CT,1,2014,1,735767,13030
CT,1,2014,2,760584,13478
CT,1,2015,1,760758,14702
CT,1,2015,2,746047,14790
CT,1,2016,1,771512,16474
CT,1,2016,2,761310,12375
DC,1,2011,1,196144,1431
DC,1,2011,2,201038,2699
DC,1,2012,1,204601,3999
DC,1,2012,2,208678,3392
DC,1,2013,1,210376,2627
DC,1,2013,2,220643,2202
DC,1,2014,1,246413,2406
DC,1,2014,2,256282,2707
DC,1,2015,1,255352,2503
DC,1,2015,2,263296,2753
DC,1,2016,1,264415,2701
DC,1,2016,2,264849,2344
DE,1,2011,1,205037,1557
DE,1,2011,2,211856,1486
DE,1,2012,1,214914,1531
DE,1,2012,2,218208,1518
DE,1,2013,1,217708,1510
DE,1,2013,2,217385,1617
DE,1,2014,1,233471,1699
DE,1,2014,2,235047,1597
DE,1,2015,1,240302,1988
DE,1,2015,2,241704,2053
DE,1,2016,1,235967,2570
DE,1,2016,2,241664,2763
FL,0,2011,1,3246247,29206
FL,0,2011,2,3322150,27966
FL,0,2012,1,3415214,18367
FL,0,2012,2,3510751,40279
FL,0,2013,1,3552980,29322
FL,0,2013,2,3586873,18960
FL,0,2014,1,3327915,19072
FL,0,2014,2,3373853,15066
FL,0,2015,1,3523843,12038
FL,0,2015,2,3576023,16779
FL,0,2016,1,3605848,19716
FL,0,2016,2,4337514,20173
GA,0,2011,1,1709353,13114
GA,0,2011,2,1709922,15803
GA,0,2012,1,1749278,15379
GA,0,2012,2,1769064,15555
GA,0,2013,1,1764173,15357
GA,0,2013,2,1731373,13360
GA,0,2014,1,1766387,13622
GA,0,2014,2,1749519,13621
GA,0,2015,1,1785957,13144
GA,0,2015,2,1782498,14601
GA,0,2016,1,1782171,15526
GA,0,2016,2,1755450,16183
HI,1,2011,1,272257,2471
HI,1,2011,2,285478,2455
HI,1,2012,1,287892,2419
HI,1,2012,2,290495,2513
HI,1,2013,1,292390,2649
HI,1,2013,2,307484,2366
HI,1,2014,1,321230,3137
HI,1,2014,2,308567,2940
HI,1,2015,1,331168,3255
HI,1,2015,2,339044,3316
HI,1,2016,1,340999,2632
HI,1,2016,2,345975,3042
IA,1,2011,1,487923,9460
IA,1,2011,2,504626,8540
IA,1,2012,1,517180,9616
IA,1,2012,2,525263,10372
IA,1,2013,1,529724,9600
IA,1,2013,2,526293,9246
IA,1,2014,1,598873,11099
IA,1,2014,2,572104,11370
IA,1,2015,1,597300,11361
IA,1,2015,2,608837,11480
IA,1,2016,1,618152,11286
IA,1,2016,2,622071,9256
ID,0,2011,1,239837,2986
ID,0,2011,2,242771,3356
ID,0,2012,1,245422,3520
ID,0,2012,2,252817,3780
ID,0,2013,1,255440,3962
ID,0,2013,2,260766,4069
ID,0,2014,1,275274,4277
ID,0,2014,2,271992,4096
ID,0,2015,1,277538,4315
ID,0,2015,2,282440,4351
ID,0,2016,1,289367,4713
ID,0,2016,2,299841,4250
IL,1,2011,1,2809771,18926
IL,1,2011,2,2861480,8150
IL,1,2012,1,2873461,16354
IL,1,2012,2,2838352,18379
IL,1,2013,1,2854838,26215
IL,1,2013,2,2941257,17255
IL,1,2014,1,3003141,20899
IL,1,2014,2,3126814,25768
IL,1,2015,1,3163868,26628
IL,1,2015,2,3134109,40183
IL,1,2016,1,3123639,42812
IL,1,2016,2,3065331,40169
IN,0,2011,1,1061894,14256
IN,0,2011,2,1084143,12883
IN,0,2012,1,1109776,20081
IN,0,2012,2,1102466,16976
IN,0,2013,1,1115355,16956
IN,0,2013,2,1075341,15050
IN,0,2014,1,1201274,17309
IN,0,2014,2,1216683,19500
IN,0,2015,1,1341018,20256
IN,0,2015,2,1437538,24915
IN,0,2016,1,1476940,30820
IN,0,2016,2,1508219,28435
KS,0,2011,1,370994,5592
KS,0,2011,2,383901,5731
KS,0,2012,1,389778,6149
KS,0,2012,2,393602,6453
KS,0,2013,1,414763,1216
KS,0,2013,2,406401,3315
KS,0,2014,1,404319,12416
KS,0,2014,2,400885,8968
KS,0,2015,1,405613,7179
KS,0,2015,2,407388,5906
KS,0,2016,1,420386,6459
KS,0,2016,2,408885,7658
KY,1,2011,1,861523,21577
KY,1,2011,2,865706,22412
KY,1,2012,1,866031,20097
KY,1,2012,2,870382,23627
KY,1,2013,1,867170,20949
KY,1,2013,2,847644,15489
KY,1,2014,1,1054115,20459
KY,1,2014,2,1073384,26464
KY,1,2015,1,1117207,39281
KY,1,2015,2,1179314,35601
KY,1,2016,1,1225842,49689
KY,1,2016,2,1230475,47420
LA,0,2011,1,1121318,8592
LA,0,2011,2,1147287,8848
LA,0,2012,1,1164796,8925
LA,0,2012,2,1170908,10628
LA,0,2013,1,1170642,11414
LA,0,2013,2,1176799,10079
LA,0,2014,1,1033090,10925
LA,0,2014,2,1044151,9525
LA,0,2015,1,1072982,13990
LA,0,2015,2,1077109,11725
LA,0,2016,1,1052682,12089
LA,0,2016,2,1415385,13582
MA,1,2011,1,1306943,14306
MA,1,2011,2,1304413,13637
MA,1,2012,1,1352214,14985
MA,1,2012,2,1370370,13518
MA,1,2013,1,1392502,15094
MA,1,2013,2,1398075,13313
MA,1,2014,1,1469714,15370
MA,1,2014,2,1586233,13940
MA,1,2015,1,1642613,14052
MA,1,2015,2,1676400,13717
MA,1,2016,1,1665649,15837
MA,1,2016,2,1655529,16178
MD,1,2011,1,945318,11501
MD,1,2011,2,968438,12088
MD,1,2012,1,986763,12499
MD,1,2012,2,1009705,12885
MD,1,2013,1,1033249,13110
MD,1,2013,2,1064852,12921
MD,1,2014,1,1156628,15574
MD,1,2014,2,1143810,16091
MD,1,2015,1,1189192,16187
MD,1,2015,2,1162313,16903
MD,1,2016,1,1229447,17766
MD,1,2016,2,1281890,16388
ME,0,2011,1,313545,7017
ME,0,2011,2,304560,7365
ME,0,2012,1,301438,7496
ME,0,2012,2,299746,7928
ME,0,2013,1,288081,7411
ME,0,2013,2,278909,4438
ME,0,2014,1,299549,4252
ME,0,2014,2,287807,4641
ME,0,2015,1,283399,4501
ME,0,2015,2,279000,4516
ME,0,2016,1,274432,4758
ME,0,2016,2,269428,4445
MI,0,2011,1,1984243,14177
MI,0,2011,2,1945548,14783
MI,0,2012,1,1936772,15210
MI,0,2012,2,1943727,15544
MI,0,2013,1,1976271,17454
MI,0,2013,2,1942149,12797
MI,0,2014,1,2198387,15267
MI,0,2014,2,2253958,20861
MI,0,2015,1,2334621,25627
MI,0,2015,2,2311459,26472
MI,0,2016,1,2312812,34752
MI,0,2016,2,2330154,29916
MN,1,2011,1,834048,10995
MN,1,2011,2,862672,14242
MN,1,2012,1,870180,16470
MN,1,2012,2,871206,17455
MN,1,2013,1,880992,18331
MN,1,2013,2,874658,19891
MN,1,2014,1,1055689,19897
MN,1,2014,2,1213607,22024
MN,1,2015,1,1029724,18703
MN,1,2015,2,1070731,18786
MN,1,2016,1,1049997,19958
MN,1,2016,2,1049566,20964
MO,0,2011,1,895253,24105
MO,0,2011,2,891963,24676
MO,0,2012,1,887728,24228
MO,0,2012,2,877600,26226
MO,0,2013,1,866954,30053
MO,0,2013,2,845554,30633
MO,0,2014,1,808824,26026
MO,0,2014,2,855487,26422
MO,0,2015,1,926289,27012
MO,0,2015,2,948576,27121
MO,0,2016,1,964598,26951
MO,0,2016,2,976256,27898
MS,0,2011,1,687469,1700
MS,0,2011,2,690583,3824
MS,0,2012,1,692750,3063
MS,0,2012,2,691658,3066
MS,0,2013,1,692641,3536
MS,0,2013,2,695009,4028
MS,0,2014,1,687967,4575
MS,0,2014,2,714084,4468
MS,0,2015,1,712828,4528
MS,0,2015,2,693365,4670
MS,0,2016,1,699103,4860
MS,0,2016,2,684094,4744
MT,0,2011,1,137239,2765
MT,0,2011,2,132501,2768
MT,0,2012,1,144144,2808
MT,0,2012,2,140437,3182
MT,0,2013,1,152619,3001
MT,0,2013,2,148144,3091
MT,0,2014,1,168500,3325
MT,0,2014,2,167328,3289
MT,0,2015,1,177652,3241
MT,0,2015,2,185716,2936
MT,0,2016,1,239983,3992
MT,0,2016,2,245360,3831
NC,0,2011,1,1584385,16480
NC,0,2011,2,1629599,15416
NC,0,2012,1,1661666,15083
NC,0,2012,2,1696569,14633
NC,0,2013,1,1699943,19182
NC,0,2013,2,1691981,16572
NC,0,2014,1,1809993,16922
NC,0,2014,2,1821459,21108
NC,0,2015,1,2000049,19437
NC,0,2015,2,2000804,21385
NC,0,2016,1,2047693,23201
NC,0,2016,2,2084900,23545
NE,0,2011,1,236596,2960
NE,0,2011,2,237169,3437
NE,0,2012,1,236616,3503
NE,0,2012,2,239295,3888
NE,0,2013,1,244432,3870
NE,0,2013,2,233139,3661
NE,0,2014,1,238506,3840
NE,0,2014,2,240058,3031
NE,0,2015,1,237498,2545
NE,0,2015,2,237979,2362
NE,0,2016,1,240748,3597
NE,0,2016,2,243657,2919
NH,0,2011,1,142838,3780
NH,0,2011,2,142986,3580
NH,0,2012,1,142868,3411
NH,0,2012,2,150462,4056
NH,0,2013,1,151415,3636
NH,0,2013,2,148211,3421
NH,0,2014,1,137163,3222
NH,0,2014,2,167330,3637
NH,0,2015,1,181243,3695
NH,0,2015,2,189687,4276
NH,0,2016,1,190009,4415
NH,0,2016,2,191363,3918
NJ,1,2011,1,1064318,8061
NJ,1,2011,2,1134594,7413
NJ,1,2012,1,1149137,10688
NJ,1,2012,2,1155534,10912
NJ,1,2013,1,1157176,12718
NJ,1,2013,2,1132464,10823
NJ,1,2014,1,1534404,15184
NJ,1,2014,2,1672822,14176
NJ,1,2015,1,1790621,17622
NJ,1,2015,2,1737333,17876
NJ,1,2016,1,1780412,21204
NJ,1,2016,2,1795251,21436
NM,1,2011,1,517565,2858
NM,1,2011,2,515325,2113
NM,1,2012,1,516826,3042
NM,1,2012,2,518127,3016
NM,1,2013,1,515362,3963
NM,1,2013,2,508548,2625
NM,1,2014,1,691524,1606
NM,1,2014,2,687942,6359
NM,1,2015,1,711541,4636
NM,1,2015,2,738231,4296
NM,1,2016,1,757248,4180
NM,1,2016,2,775020,6154
NV,1,2011,1,312039,2632
NV,1,2011,2,321564,2564
NV,1,2012,1,325717,3388
NV,1,2012,2,326580,3553
NV,1,2013,1,334766,4203
NV,1,2013,2,353416,3215
NV,1,2014,1,507572,4852
NV,1,2014,2,548377,5383
NV,1,2015,1,563484,7593
NV,1,2015,2,596516,7731
NV,1,2016,1,608960,10001
NV,1,2016,2,623574,7884
NY,1,2011,1,5312152,37229
NY,1,2011,2,5364978,38160
NY,1,2012,1,5456462,45936
NY,1,2012,2,5544018,43691
NY,1,2013,1,5606337,50427
NY,1,2013,2,5622123,53142
NY,1,2014,1,6093172,61268
NY,1,2014,2,6300006,59717
NY,1,2015,1,6479343,62585
NY,1,2015,2,6620649,54199
NY,1,2016,1,6413404,66733
NY,1,2016,2,6420227,52598
OH,1,2011,1,2155341,30511
OH,1,2011,2,2179799,22293
OH,1,2012,1,2219173,38255
OH,1,2012,2,2219829,48632
OH,1,2013,1,2223352,50130
OH,1,2013,2,2227795,45588
OH,1,2014,1,2634261,49099
OH,1,2014,2,2900815,55087
OH,1,2015,1,2988691,72205
OH,1,2015,2,2932001,88503
OH,1,2016,1,2979371,91727
OH,1,2016,2,2910351,84145
OK,0,2011,1,687674,7402
OK,0,2011,2,711570,7546
OK,0,2012,1,723617,8156
OK,0,2012,2,740668,11376
OK,0,2013,1,737317,13620
OK,0,2013,2,753567,12746
OK,0,2014,1,797155,12927
OK,0,2014,2,799478,10482
OK,0,2015,1,815810,10327
OK,0,2015,2,781927,11436
OK,0,2016,1,780782,11105
OK,0,2016,2,804355,11429
OR,1,2011,1,609602,10898
OR,1,2011,2,627741,10370
OR,1,2012,1,641157,9869
OR,1,2012,2,643495,7908
OR,1,2013,1,648987,13747
OR,1,2013,2,638299,9272
OR,1,2014,1,984878,14241
OR,1,2014,2,1036190,13244
OR,1,2015,1,1064251,17396
OR,1,2015,2,1044686,13305
OR,1,2016,1,1049229,16441
OR,1,2016,2,986111,14933
PA,0,2011,1,2407208,27014
PA,0,2011,2,2279613,23323
PA,0,2012,1,2288779,22506
PA,0,2012,2,2270286,20518
PA,0,2013,1,2281573,21150
PA,0,2013,2,2322901,23467
PA,0,2014,1,2403735,24037
PA,0,2014,2,2403656,24989
PA,0,2015,1,2642887,26999
PA,0,2015,2,2769810,30906
PA,0,2016,1,2855265,30938
PA,0,2016,2,2918260,28675
RI,1,2011,1,185832,675
RI,1,2011,2,187433,556
RI,1,2012,1,187409,1975
RI,1,2012,2,189544,1365
RI,1,2013,1,193779,666
RI,1,2013,2,190447,552
RI,1,2014,1,255612,492
RI,1,2014,2,263426,429
RI,1,2015,1,274674,384
RI,1,2015,2,280350,339
RI,1,2016,1,285580,3122
RI,1,2016,2,300924,3158
SC,0,2011,1,753440,6643
SC,0,2011,2,766527,6845
SC,0,2012,1,777809,6710
SC,0,2012,2,840321,7580
SC,0,2013,1,848485,7564
SC,0,2013,2,844018,6707
SC,0,2014,1,853352,6453
SC,0,2014,2,995296,6421
SC,0,2015,1,1009201,6574
SC,0,2015,2,936141,6744
SC,0,2016,1,1016732,6404
SC,0,2016,2,1032898,6817
SD,0,2011,1,115117,1016
SD,0,2011,2,115407,1080
SD,0,2012,1,115958,1257
SD,0,2012,2,115836,1115
SD,0,2013,1,115514,1358
SD,0,2013,2,114012,1250
SD,0,2014,1,115927,887
SD,0,2014,2,116878,1362
SD,0,2015,1,118429,2001
SD,0,2015,2,118295,2395
SD,0,2016,1,119350,2456
SD,0,2016,2,119956,2244
TN,0,2011,1,1367983,13473
TN,0,2011,2,1402564,13782
TN,0,2012,1,1395207,14117
TN,0,2012,2,1393331,18688
TN,0,2013,1,1388477,21073
TN,0,2013,2,1357749,19483
TN,0,2014,1,1339752,20581
TN,0,2014,2,1425497,21126
TN,0,2015,1,1498455,20021
TN,0,2015,2,1564417,22707
TN,0,2016,1,1623164,22267
TN,0,2016,2,1636770,22444
TX,0,2011,1,4168025,23742
TX,0,2011,2,3249045,17868
TX,0,2012,1,4207017,9842
TX,0,2012,2,4203449,9918
TX,0,2013,1,4285836,12144
TX,0,2013,2,4211175,7986
TX,0,2014,1,4535706,4476
TX,0,2014,2,4704853,16599
TX,0,2015,1,4672896,25370
TX,0,2015,2,4727969,22755
TX,0,2016,1,4740159,21577
TX,0,2016,2,4799893,21256
UT,0,2011,1,310696,2435
UT,0,2011,2,311031,1892
UT,0,2012,1,319905,2497
UT,0,2012,2,318078,2602
UT,0,2013,1,325382,2846
UT,0,2013,2,317277,3433
UT,0,2014,1,332542,3754
UT,0,2014,2,298773,3301
UT,0,2015,1,308627,3473
UT,0,2015,2,311057,3192
UT,0,2016,1,313641,3396
UT,0,2016,2,311117,2852
VA,0,2011,1,916953,13727
VA,0,2011,2,932403,14921
VA,0,2012,1,946033,14386
VA,0,2012,2,964650,21597
VA,0,2013,1,965521,20356
VA,0,2013,2,956216,19920
VA,0,2014,1,1080252,17987
VA,0,2014,2,958583,19126
VA,0,2015,1,978672,19346
VA,0,2015,2,955868,19569
VA,0,2016,1,983389,18692
VA,0,2016,2,993220,19657
VT,1,2011,1,143621,2125
VT,1,2011,2,242852,2194
VT,1,2012,1,145736,2295
VT,1,2012,2,145989,2233
VT,1,2013,1,146586,2705
VT,1,2013,2,145342,2499
VT,1,2014,1,188422,2549
VT,1,2014,2,177819,2003
VT,1,2015,1,184594,2590
VT,1,2015,2,191415,2798
VT,1,2016,1,185382,2827
VT,1,2016,2,169092,2725
WA,1,2011,1,1146160,10119
WA,1,2011,2,1161984,10210
WA,1,2012,1,1159173,10286
WA,1,2012,2,1164765,6613
WA,1,2013,1,1164426,7109
WA,1,2013,2,1160593,8856
WA,1,2014,1,1528973,10313
WA,1,2014,2,1644648,18054
WA,1,2015,1,1717320,16242
WA,1,2015,2,1779640,17120
WA,1,2016,1,1782166,20185
WA,1,2016,2,1818225,20952
WI,0,2011,1,1057870,17890
WI,0,2011,2,1061744,19731
WI,0,2012,1,1060168,20149
WI,0,2012,2,1041656,20800
WI,0,2013,1,1048560,22212
WI,0,2013,2,1036812,20343
WI,0,2014,1,1193576,21790
WI,0,2014,2,1034899,22843
WI,0,2015,1,1047631,24221
WI,0,2015,2,1044478,23257
WI,0,2016,1,1047259,23797
WI,0,2016,2,1037863,23730
WV,1,2011,1,359469,6122
WV,1,2011,2,360488,5923
WV,1,2012,1,358614,6036
WV,1,2012,2,357002,5958
WV,1,2013,1,357279,5913
WV,1,2013,2,375411,5841
WV,1,2014,1,514188,7713
WV,1,2014,2,522491,10306
WV,1,2015,1,538601,9828
WV,1,2015,2,548380,9862
WV,1,2016,1,573178,12468
WV,1,2016,2,567064,11095
WY,0,2011,1,73397,1170
WY,0,2011,2,72758,1227
WY,0,2012,1,72866,1425
WY,0,2012,2,73059,1350
WY,0,2013,1,72386,1087
WY,0,2013,2,71908,1400
WY,0,2014,1,67094,1179
WY,0,2014,2,71535,1329
WY,0,2015,1,65445,1375
WY,0,2015,2,64508,1266
WY,0,2016,1,64048,820
WY,0,2016,2,61925,1705
